JEU;Multijoueur;Sport;FPS;Monde-ouvert;Violence;Realiste;Action;Strategie;Survie;Plateforme;Simulation;Voiture;Battle-royale;Horreur;Combat;Puzzle
Valorant;oui;non;oui;non;oui;non;oui;oui;non;non;non;non;non;non;oui;non
Fifa;oui;oui;non;non;non;oui;oui;non;non;non;non;non;non;non;non;non
Mario-Bros;non;non;non;non;non;non;non;non;non;oui;oui;non;non;non;non;non
Flight-Simulator;non;non;non;oui;non;oui;non;non;non;non;oui;non;non;non;non;non
Rocket league;oui;non;non;non;non;non;non;non;non;non;non;oui;non;non;non;non
CSGO;oui;non;non;non;oui;oui;oui;oui;non;non;non;non;non;non;non;non
F1 23;oui;oui;non;non;non;oui;non;non;non;non;oui;oui;non;non;non;non
Just Cause;non;non;non;oui;oui;oui;oui;non;non;non;non;non;non;non;oui;non
GTA;oui;non;non;oui;oui;oui;oui;non;non;non;non;oui;non;non;oui;non
NBA 2K24;oui;oui;non;non;non;oui;oui;oui;non;non;oui;non;non;non;non;non
Minecraft;oui;non;non;oui;non;non;oui;non;oui;non;non;non;non;non;non;non
Ark Survival;non;non;oui;non;oui;non;oui;non;oui;non;non;non;non;non;non;non
Super Market Simulator;non;non;non;non;non;oui;non;non;non;non;oui;non;non;non;non;non
Fortnite;oui;non;non;non;non;non;oui;non;oui;non;non;non;oui;non;non;non
Call of duty Warzone;oui;non;oui;non;oui;oui;oui;non;non;non;non;non;oui;non;non;non
Call of duty Zombie;oui;non;oui;non;oui;oui;oui;oui;non;non;non;non;non;oui;non;non
Red dead redemption;non;non;non;oui;oui;oui;oui;non;non;non;non;non;non;non;oui;non
Outlast;non;non;oui;non;oui;oui;oui;non;non;non;non;non;non;oui;non;non
League of legends;oui;non;non;non;non;non;non;oui;non;non;non;non;non;non;non;non
Zelda;non;non;non;non;non;non;oui;non;non;non;non;non;non;non;oui;non
Phasmophobia;non;non;non;non;non;oui;oui;non;non;non;non;non;non;oui;non;non
Clash royale;oui;non;non;non;non;non;oui;oui;non;non;non;non;non;non;non;non
Resident Evil;non;non;non;non;non;oui;oui;non;non;non;non;non;non;oui;non;non
Street Fighter;oui;oui;non;non;oui;non;oui;non;non;non;non;non;non;non;oui;non
Roblox;oui;non;non;oui;non;non;oui;non;non;non;oui;non;non;non;oui;non
Garry's mod;oui;non;oui;oui;oui;non;oui;non;non;non;oui;non;non;non;oui;non
Among Us;oui;non;non;non;non;non;non;oui;non;non;non;non;oui;non;non;non
Overwatch;oui;non;oui;non;oui;non;oui;oui;non;non;non;non;non;non;oui;non
Raft;oui;non;oui;non;non;oui;non;non;oui;non;non;non;non;non;non;non
Hello Neighboor;non;non;oui;non;non;non;oui;non;non;non;non;non;non;oui;non;non
Cities Skylines;non;non;non;oui;non;oui;non;non;non;non;oui;non;non;non;non;non
Sims 4;non;non;non;oui;non;oui;non;non;non;non;oui;non;non;non;non;non
Clash of Clans;oui;non;non;non;non;non;oui;oui;non;non;non;non;non;non;oui;non
Brawls Stars;oui;non;non;non;oui;non;oui;non;non;non;non;non;oui;non;oui;non
HayDay;oui;non;non;non;non;non;non;non;non;non;oui;non;non;non;non;non
Subway Surfer;oui;non;non;non;non;non;non;non;non;oui;non;non;non;non;non;non
Tetris;non;non;non;non;non;non;non;oui;non;non;non;non;non;non;non;non
Geometry Dash;non;non;non;non;non;non;non;non;non;oui;non;non;non;non;non;non
Pokemon;non;non;non;oui;non;non;oui;oui;non;non;non;non;non;non;oui;non
Pac Man;non;non;non;non;non;non;oui;oui;non;non;non;non;non;non;non;non
StoryTeller;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;oui
Agar io;oui;non;non;oui;non;non;non;oui;oui;non;non;non;oui;non;non;non
Infinite Craft;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non
